#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
30              15              ok                      ok                      6.1758632986e-08        5.0364434555e+02        1.6481871146e+12        8.8815840340e+11        2.3276719037e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              32              ok                      ok                      7.6510480643e-08        5.0364445779e+02        2.0419704096e+12        1.1003062714e+12        2.3277779025e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
32              48              ok                      ok                      9.4785997765e-08        5.0364459684e+02        2.5298194022e+12        1.3631282683e+12        2.3278687172e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
33              61              ok                      ok                      1.1742685835e-07        5.0364476910e+02        3.1341973999e+12        1.6887284947e+12        2.3279422641e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
34              78              ok                      ok                      1.4547578108e-07        5.0364498251e+02        3.8829346818e+12        2.0921022343e+12        2.3279994519e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
35              99              ok                      ok                      1.8022455153e-07        5.0364524689e+02        4.8105106161e+12        2.5918265307e+12        2.3280426900e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
36              124             ok                      ok                      2.2327351488e-07        5.0364557442e+02        5.9596417673e+12        3.2109157062e+12        2.3280748783e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
37              149             ok                      ok                      2.7660527949e-07        5.0364598019e+02        7.3832491838e+12        3.9778812157e+12        2.3280988164e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
38              171             ok                      ok                      3.4267602534e-07        5.0364648287e+02        9.1468952141e+12        4.9280446355e+12        2.3281168072e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
39              189             ok                      ok                      4.2452862274e-07        5.0364710563e+02        1.1331801906e+13        6.1051642377e+12        2.3281304835e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
40              202             ok                      ok                      5.2593277089e-07        5.0364787714e+02        1.4038590409e+13        7.5634500329e+12        2.3281408771e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
41              211             ok                      ok                      6.5155861036e-07        5.0364883293e+02        1.7391914214e+13        9.3700600414e+12        2.3281486494e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
42              217             ok                      ok                      8.0719180519e-07        5.0365001702e+02        2.1546199490e+13        1.1608192690e+13        2.3281543179e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
43              222             ok                      ok                      1.0000000000e-06        5.0365148392e+02        2.6692756124e+13        1.4380917653e+13        2.3281583434e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
44              225             ok                      ok                      1.2388629240e-06        5.0365330120e+02        3.3068586364e+13        1.7815921410e+13        2.3281611451e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
45              227             ok                      ok                      1.5347813444e-06        5.0365555253e+02        4.0967296229e+13        2.2071385832e+13        2.3281630648e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
46              229             ok                      ok                      1.9013837041e-06        5.0365834157e+02        5.0752611720e+13        2.7343270173e+13        2.3281643662e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
47              231             ok                      ok                      2.3555537753e-06        5.0366179674e+02        6.2875121386e+13        3.3874331255e+13        2.3281652449e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
48              232             ok                      ok                      2.9182082376e-06        5.0366607712e+02        7.7893014707e+13        4.1965296423e+13        2.3281658418e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
49              233             ok                      ok                      3.6152599901e-06        5.0367137977e+02        9.6497768888e+13        5.1988702491e+13        2.3281662486e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
50              234             ok                      ok                      4.4788115623e-06        5.0367794878e+02        1.1954596342e+14        6.4406035982e+13        2.3281665293e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
51              234             ok                      ok                      5.5486335881e-06        5.0368608651e+02        1.4809868171e+14        7.9788960941e+13        2.3281667303e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
52              235             ok                      ok                      6.8739964312e-06        5.0369616747e+02        1.8347030526e+14        9.8845607121e+13        2.3281668740e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
53              235             ok                      ok                      8.5159393183e-06        5.0370865552e+02        2.2728893459e+14        1.2245312190e+14        2.3281669864e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
54              235             ok                      ok                      1.0550081484e-05        5.0372412514e+02        2.8157119763e+14        1.5169797379e+14        2.3281670779e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
55              235             ok                      ok                      1.3070104796e-05        5.0374328780e+02        3.4881485960e+14        1.8792584630e+14        2.3281671584e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
56              236             ok                      ok                      1.6192068245e-05        5.0376702454e+02        4.3211344961e+14        2.3280339359e+14        2.3281672327e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
57              236             ok                      ok                      2.0059753011e-05        5.0379642621e+02        5.3529810844e+14        2.8839466114e+14        2.3281673140e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
58              235             ok                      ok                      2.4851284270e-05        5.0383284335e+02        6.6311307296e+14        3.5725562878e+14        2.3281674096e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
59              235             ok                      ok                      3.0787334695e-05        5.0387794771e+02        8.2143270330e+14        4.4255113462e+14        2.3281675211e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
60              235             ok                      ok                      3.8141287483e-05        5.0393380819e+02        1.0175297775e+15        5.4819941864e+14        2.3281676610e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
61              235             ok                      ok                      4.7251826936e-05        5.0400298462e+02        1.2604069927e+15        6.7905071947e+14        2.3281678395e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
62              235             ok                      ok                      5.8538536482e-05        5.0408864328e+02        1.5612063084e+15        8.4110780801e+14        2.3281680677e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
63              235             ok                      ok                      7.2521222472e-05        5.0419469906e+02        1.9337140149e+15        1.0417980933e+15        2.3281683551e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
64              235             ok                      ok                      8.9843853723e-05        5.0432599022e+02        2.3949833138e+15        1.2903090386e+15        2.3281687086e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
65              235             ok                      ok                      1.1130421933e-04        5.0448849277e+02        2.9661008380e+15        1.5980011248e+15        2.3281691301e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
66              236             ok                      ok                      1.3789067061e-04        5.0468958269e+02        3.6731290069e+15        1.9789155471e+15        2.3281696142e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
67              237             ok                      ok                      1.7082763938e-04        5.0493835587e+02        4.5482624620e+15        2.4503972435e+15        2.3281701591e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
68              238             ok                      ok                      2.1163202882e-04        5.0524601702e+02        5.6312440440e+15        3.0338577512e+15        2.3281707605e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
69              240             ok                      ok                      2.6218307404e-04        5.0562634992e+02        6.9710938122e+15        3.7557067099e+15        2.3281714150e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
70              242             ok                      ok                      3.2480888972e-04        5.0609628295e+02        8.6282132028e+15        4.6484854579e+15        2.3281721328e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
71              243             ok                      ok                      4.0239369086e-04        5.0667656405e+02        1.0676935123e+16        5.7522408684e+15        2.3281729330e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
72              243             ok                      ok                      4.9851062446e-04        5.0739255835e+02        1.3208598897e+16        7.1161819294e+15        2.3281738420e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
73              243             ok                      ok                      6.1758632986e-04        5.0827517983e+02        1.6335235307e+16        8.8006649857e+15        2.3281748932e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
74              243             ok                      ok                      7.6510480643e-04        5.0936196194e+02        2.0193949927e+16        1.0879555147e+16        2.3281761314e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
75              240             ok                      ok                      9.4785997765e-04        5.1069826304e+02        2.4952090449e+16        1.3443010028e+16        2.3281776146e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
76              237             ok                      ok                      1.1742685835e-03        5.1233858621e+02        3.0813273319e+16        1.6600726466e+16        2.3281793782e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
77              232             ok                      ok                      1.4547578108e-03        5.1434796969e+02        3.8024325159e+16        2.0485680031e+16        2.3281814561e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
78              227             ok                      ok                      1.8022455152e-03        5.1680337155e+02        4.6883163325e+16        2.5258370685e+16        2.3281838366e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
79              220             ok                      ok                      2.2327351488e-03        5.1979493011e+02        5.7747601784e+16        3.1111567112e+16        2.3281864711e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
